ID,City_or_Region,State_UT,Issuing_Authority,Step_No,Step,Steps_Verified,Confidence
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,5,Upload the mandatory documents and comply with the general and technical conditions of the trade.,Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,6,"Pay the processing, registration and licensing fees online.",Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,7,For designated health trades the portal generates the licence instantly; download and print the certificate. Officers may raise deficiencies to be fixed within the stipulated time.,Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,8,"For GTL: MCD approved linking it with property tax, so the licence fee can be paid with annual property tax and the receipt serves as the licence (confirm current status on the MCD site).",Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,1,Check whether your trade is listed in Schedule X of the KMC Act; if so it cannot start without a licence under Section 353. Apply at least 30 days before starting.,Secondary sources - verify on official portal,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,2,"Prepare the documents: ID and address proof, premises proof with the owner's NOC, layout plan, neighbour consent, property tax receipt and Katha extract.",Secondary sources - verify on official portal,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,3,Apply online on the BBMP trade licence portal and upload the documents.,Secondary sources - verify on official portal,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,4,Pay the prescribed trade fee online; an inspection of the premises may follow.,Secondary sources - verify on official portal,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,5,On approval a digitally signed licence is issued and can be downloaded.,Secondary sources - verify on official portal,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,6,Renewal: pay the trade fee online each year; the certificate is auto-renewed without a fresh application.,Secondary sources - verify on official portal,Medium
TL003,Bengaluru,Karnataka,Bruhat Bengaluru Mahanagara Palike (BBMP) - city governance has been restructured under the Greater Bengaluru Authority; verify the current issuing body,7,Display the licence at the premises and follow the Kannada-signboard requirement.,Secondary sources - verify on official portal,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",1,"Prepare the application form (signed) and supporting documents including the notarised affidavit, photo, property tax receipt and residence proof.",Secondary sources (news/explainer) - verify on GCC website,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",2,"Obtain NOCs where needed: fire (District Fire Officer), Pollution Control Board for factories or waste-related trades, and Inspector of Factories certificate for more than nine workers.",Secondary sources (news/explainer) - verify on GCC website,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",3,Approach the Citizen Facilitation Counter at the Zonal Office covering your premises; the operator enters the application online.,Secondary sources (news/explainer) - verify on GCC website,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",4,Pay the licence fee and other charges as prescribed.,Secondary sources (news/explainer) - verify on GCC website,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",5,"If machinery of 5 HP or more is used, also obtain an installation licence from the zone's Town Planning Authority.",Secondary sources (news/explainer) - verify on GCC website,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",6,Receive the licence after verification.,Secondary sources (news/explainer) - verify on GCC website,Medium
TL004,Chennai,Tamil Nadu,"Greater Chennai Corporation (GCC), Revenue Department, through Zonal Offices",7,"Renew every year between 1 February and 31 March on the citizen portal, with payment.",Secondary sources (news/explainer) - verify on GCC website,Medium
TL005,Kolkata,West Bengal,"Kolkata Municipal Corporation (KMC), Licence Department",1,"Collect the application form from the KMC Licence Department, or start the online application on the KMC portal.","Partly official (KMC demand notice text, KMC Act reference); steps from secondary sources",Medium
TL005,Kolkata,West Bengal,"Kolkata Municipal Corporation (KMC), Licence Department",2,"Fill in the form and attach the required documents, including the property tax receipt and proof of ownership/possession of the business premises.","Partly official (KMC demand notice text, KMC Act reference); steps from secondary sources",Medium
TL005,Kolkata,West Bengal,"Kolkata Municipal Corporation (KMC), Licence Department",3,Submit the documents to the KMC department so the in-charge can verify them.,"Partly official (KMC demand notice text, KMC Act reference); steps from secondary sources",Medium
TL005,Kolkata,West Bengal,"Kolkata Municipal Corporation (KMC), Licence Department",4,Pay the fee as per the KMC schedule; a Certificate of Enlistment is issued under Section 199 of the KMC Act.,"Partly official (KMC demand notice text, KMC Act reference); steps from secondary sources",Medium
TL005,Kolkata,West Bengal,"Kolkata Municipal Corporation (KMC), Licence Department",5,"Obtain separate approvals where needed (for example FSSAI for food business operators, and fire, pollution or excise permissions for particular trades).","Partly official (KMC demand notice text, KMC Act reference); steps from secondary sources",Medium
TL005,Kolkata,West Bengal,"Kolkata Municipal Corporation (KMC), Licence Department",6,Renewal: KMC raises an annual e-demand; pay online or offline and the receipt serves as the renewed certificate.,"Partly official (KMC demand notice text, KMC Act reference); steps from secondary sources",Medium
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),1,Visit ghmc.gov.in and open Trade Licence under Services to apply for a new licence.,Official source (GHMC website and GHMC online procedure document),High
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),2,Register and log in using a one-time password (OTP).,Official source (GHMC website and GHMC online procedure document),High
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),3,Fill in the online application form with the mandatory information.,Official source (GHMC website and GHMC online procedure document),High
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),4,Upload the two mandatory documents: ID proof and lease deed / legal occupancy.,Official source (GHMC website and GHMC online procedure document),High
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),5,"Pay the trade licence fee through the integrated payment gateway (net banking, credit or debit card); an online receipt is generated.",Official source (GHMC website and GHMC online procedure document),High
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),6,A provisional certificate is issued on uploading the mandatory documents; the licence certificate with a Trade Licence Identification Number (TIN) is issued after completion of payment and checks.,Official source (GHMC website and GHMC online procedure document),High
TL006,Hyderabad,Telangana,Greater Hyderabad Municipal Corporation (GHMC),7,Renew every year by 31 January online or at Mee Seva/CSC or GHMC circle offices to avoid the penalty.,Official source (GHMC website and GHMC online procedure document),High
TL007,Pune,Maharashtra,Pune Municipal Corporation (PMC),1,Determine the type of licence needed for your trade.,Secondary sources only - verify on PMC website,Low
TL007,Pune,Maharashtra,Pune Municipal Corporation (PMC),2,Obtain No Objection Certificates from the Fire and Health departments where required.,Secondary sources only - verify on PMC website,Low
TL007,Pune,Maharashtra,Pune Municipal Corporation (PMC),3,Fill in the trade licence application form with accurate details and attach supporting documents.,Secondary sources only - verify on PMC website,Low
TL007,Pune,Maharashtra,Pune Municipal Corporation (PMC),4,Submit the application to PMC and pay the prescribed fee.,Secondary sources only - verify on PMC website,Low
TL007,Pune,Maharashtra,Pune Municipal Corporation (PMC),5,PMC verifies the documents and may inspect the premises before issuing the licence.,Secondary sources only - verify on PMC website,Low
TL008,Ahmedabad,Gujarat,Amdavad Municipal Corporation (AMC),1,Log in to the Gujarat online portal / AMC portal used for trade licences (a pre-operational approval service).,Secondary sources only - verify on AMC/Gujarat portal,Low
TL008,Ahmedabad,Gujarat,Amdavad Municipal Corporation (AMC),2,"Fill in the application with business, applicant and premises details.",Secondary sources only - verify on AMC/Gujarat portal,Low
TL008,Ahmedabad,Gujarat,Amdavad Municipal Corporation (AMC),3,Upload the required documents and NOCs applicable to the trade.,Secondary sources only - verify on AMC/Gujarat portal,Low
TL008,Ahmedabad,Gujarat,Amdavad Municipal Corporation (AMC),4,Pay the fee online.,Secondary sources only - verify on AMC/Gujarat portal,Low
TL008,Ahmedabad,Gujarat,Amdavad Municipal Corporation (AMC),5,AMC verifies and issues the licence; renew annually before expiry.,Secondary sources only - verify on AMC/Gujarat portal,Low
TL009,Municipal Corporations of Himachal Pradesh (e.g. Shimla),Himachal Pradesh,"Municipal Corporation, Government of Himachal Pradesh",1,Open the Emerging Himachal online application (emerginghimachal.hp.gov.in).,Official source (Himachal Pradesh Municipal Corporation checklist and procedure),High for the documents and login flow; Low for fees/validity
TL009,Municipal Corporations of Himachal Pradesh (e.g. Shimla),Himachal Pradesh,"Municipal Corporation, Government of Himachal Pradesh",2,"If not already registered, register and create a User ID and password; mobile number and email ID are verified.",Official source (Himachal Pradesh Municipal Corporation checklist and procedure),High for the documents and login flow; Low for fees/validity
TL009,Municipal Corporations of Himachal Pradesh (e.g. Shimla),Himachal Pradesh,"Municipal Corporation, Government of Himachal Pradesh",3,Log in with the User ID and password.,Official source (Himachal Pradesh Municipal Corporation checklist and procedure),High for the documents and login flow; Low for fees/validity
TL009,Municipal Corporations of Himachal Pradesh (e.g. Shimla),Himachal Pradesh,"Municipal Corporation, Government of Himachal Pradesh",4,Select the Trade Licence service from the list of services and fill in the application.,Official source (Himachal Pradesh Municipal Corporation checklist and procedure),High for the documents and login flow; Low for fees/validity
TL009,Municipal Corporations of Himachal Pradesh (e.g. Shimla),Himachal Pradesh,"Municipal Corporation, Government of Himachal Pradesh",5,Upload the two required documents: ID proof and lease deed / legal occupancy.,Official source (Himachal Pradesh Municipal Corporation checklist and procedure),High for the documents and login flow; Low for fees/validity
TL009,Municipal Corporations of Himachal Pradesh (e.g. Shimla),Himachal Pradesh,"Municipal Corporation, Government of Himachal Pradesh",6,Submit and pay fees as displayed; the Municipal Corporation processes the application and issues the licence.,Official source (Himachal Pradesh Municipal Corporation checklist and procedure),High for the documents and login flow; Low for fees/validity
