Government_Schemes_HowToApply_FY2024-26_with_Explained_Steps
Government_Schemes_HowToApply_FY2024-26_with_Explained_Steps,,,,,,,,,,,,,,
ID,Level,State_UT,Scheme_Name,Category,Year_Period,Key_Benefit,Nodal_Body,Source,How_to_Apply,Steps_Verified,No_of_Steps,Steps_Summary,How_to_Apply_Explained,Remarks_Caution
CEN011,Central,All India,SCLCSS (Special Credit Linked Capital Subsidy),Scheme,FY2024-26,Capital subsidy for SC/ST & women MSME tech upgrade,Ministry of MSME,msme.gov.in,"1) Visit the official source portal (msme.gov.in) or contact the nodal body (Ministry of MSME) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'SCLCSS (Special Credit Linked Capital Subsidy)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (msme.gov.in) or contact the nodal body (Ministry of MSME). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'SCLCSS (Special Credit Linked Capital Subsidy)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN012,Central,All India,PMEGP,Scheme,FY2024-26,"Rs 25,263+ crore cumulative subsidy, ~80 lakh jobs generated",Ministry of MSME/KVIC,kviconline.gov.in,"1) Visit kviconline.gov.in/pmegpeportal 2) Register as new applicant, fill online application form with project details 3) Upload project report, ID/address proof, caste/special-category certificate if applicable 4) Application auto-forwarded to KVIC/KVIB/DIC for scrutiny 5) Attend bank interview once selected; bank sanctions term loan 6) Attend EDP (skill) training (mandatory) 7) Margin money subsidy released via bank after training completion.",Yes - scheme-specific official process,7,1) Visit the PMEGP portal | 2) Register and fill in the online form | 3) Upload documents | 4) Auto-forwarding for scrutiny | 5) Bank interview and loan sanction | 6) Mandatory EDP training | 7) Margin-money subsidy released,"Step 1 - Visit the PMEGP portal: Go to kviconline.gov.in and open the PMEGP e-portal (pmegpeportal), the official portal for this KVIC/Ministry of MSME subsidy scheme.
Step 2 - Register and fill in the online form: Register as a new applicant and complete the online application with your project details (activity, location, cost, employment expected).
Step 3 - Upload documents: Upload the project report, ID and address proof and, if applicable, a caste or special-category certificate to claim the higher subsidy rate.
Step 4 - Auto-forwarding for scrutiny: The application is forwarded automatically to KVIC, KVIB or the District Industries Centre (DIC), which scrutinise it and recommend it to a bank.
Step 5 - Bank interview and loan sanction: Once selected, attend the bank interview. If the bank is satisfied with the project, it sanctions a term loan.
Step 6 - Mandatory EDP training: Complete the Entrepreneurship Development Programme (EDP) skill training. It is mandatory and the subsidy depends on it.
Step 7 - Margin-money subsidy released: After training is completed, the margin-money subsidy is released to your loan account through the bank.",
CEN013,Central,All India,CGTMSE Guarantee Ceiling Enhancement,Scheme,FY2025-26,Guarantee ceiling doubled Rs5Cr to Rs10Cr,Ministry of MSME/SIDBI,cgtmse.in,"1) Business does NOT apply to CGTMSE directly 2) Apply for a collateral-free MSE loan at any Member Lending Institution (bank/NBFC) 3) Bank assesses loan proposal per its own credit norms 4) On sanction, the bank itself registers the loan with CGTMSE and pays the Annual Guarantee Fee 5) Borrower simply signs standard loan documents; the guarantee cover is arranged bank-side via cgtmse.in.",Yes - scheme-specific official process,5,1) Do not apply to CGTMSE directly | 2) Apply for a collateral-free loan at a lender | 3) Bank assesses the proposal | 4) Bank registers the loan and pays the fee | 5) Sign loan documents,"Step 1 - Do not apply to CGTMSE directly: CGTMSE does not take applications from businesses. The guarantee is a back-up cover for lenders.
Step 2 - Apply for a collateral-free loan at a lender: Apply for a collateral-free MSE loan at any Member Lending Institution (MLI), meaning a bank or NBFC that is enrolled with CGTMSE.
Step 3 - Bank assesses the proposal: The lender appraises your proposal under its own credit norms. The guarantee does not change the credit assessment.
Step 4 - Bank registers the loan and pays the fee: If the loan is sanctioned, the bank itself registers it with CGTMSE and pays the Annual Guarantee Fee.
Step 5 - Sign loan documents: You sign the normal loan documents. The guarantee cover is arranged bank-side through the CGTMSE portal (cgtmse.in).",
CEN014,Central,All India,Startup Credit Guarantee Enhancement,Scheme,FY2025-26,Startup guarantee doubled Rs10Cr to Rs20Cr,Ministry of Finance,dpiit.gov.in,"1) Ensure DPIIT Startup recognition via startupindia.gov.in 2) Approach an eligible lending bank/NBFC for a loan under the enhanced startup guarantee window 3) Bank processes and, on approval, registers guarantee coverage itself with the credit guarantee fund 4) No separate application to the guarantee fund is needed by the startup.",Yes - scheme-specific official process,4,1) Get DPIIT Startup recognition | 2) Apply for a loan at a bank or NBFC | 3) Bank registers guarantee coverage | 4) No separate application needed,"Step 1 - Get DPIIT Startup recognition: Get recognised as a startup by DPIIT through startupindia.gov.in. This is the eligibility gate for the scheme.
Step 2 - Apply for a loan at a bank or NBFC: Approach an eligible bank or NBFC for a loan under the enhanced startup guarantee window and provide your business plan and financials.
Step 3 - Bank registers guarantee coverage: On approval, the lender registers the guarantee coverage itself with the credit guarantee fund.
Step 4 - No separate application needed: The startup does not apply to the guarantee fund. Everything is handled through the lender.",
CEN015,Central,All India,Udyam Credit Card Scheme,Scheme,FY2025-26,"Rs5 lakh credit card limit, 10 lakh cards targeted Yr1",Ministry of MSME,udyamregistration.gov.in,"1) Complete/verify Udyam Registration at udyamregistration.gov.in 2) Approach a participating bank branch (mainly PSU banks) offering the Udyam Credit Card 3) Submit KYC, Udyam certificate, and business proof 4) Bank issues the card with the sanctioned limit (up to Rs5 lakh) after verification.",Yes - scheme-specific official process,4,1) Complete or verify Udyam Registration | 2) Approach a participating bank branch | 3) Submit KYC and business proof | 4) Bank issues the card,"Step 1 - Complete or verify Udyam Registration: Make sure your Udyam Registration (udyamregistration.gov.in) is complete and active.
Step 2 - Approach a participating bank branch: Visit a participating bank branch (mainly PSU banks) that offers the Udyam Credit Card.
Step 3 - Submit KYC and business proof: Submit KYC documents, your Udyam certificate and business proof (for example GST or shop registration).
Step 4 - Bank issues the card: After verification, the bank issues the card with a sanctioned credit limit of up to Rs 5 lakh.",
CEN016,Central,All India,Scheme for First-Time Entrepreneurs,Scheme,FY2025-26,Term loans up to Rs2 crore for 5 lakh women/SC/ST entrepreneurs,Ministry of Finance,standupmitra.in,"1) Check eligibility (first-time woman/SC/ST entrepreneur) 2) Apply via standupmitra.in portal or nearest scheduled bank branch/Lead District Manager 3) Fill borrower profile (ready or trainee borrower) 4) Submit business plan, ID/address proof, caste certificate (if applicable) 5) Bank appraises project and sanctions composite loan 6) Attend handholding/training if categorized as trainee borrower.",Yes - scheme-specific official process,6,1) Check eligibility | 2) Apply via portal or bank branch | 3) Fill in borrower profile | 4) Submit documents | 5) Bank appraises and sanctions loan | 6) Handholding / training if needed,"Step 1 - Check eligibility: Check that you are a first-time entrepreneur and a woman, SC or ST applicant.
Step 2 - Apply via portal or bank branch: Apply through standupmitra.in or at your nearest scheduled bank branch or Lead District Manager (LDM).
Step 3 - Fill in borrower profile: Fill in your borrower profile and choose between 'ready borrower' (ready to start) and 'trainee borrower' (needs training first).
Step 4 - Submit documents: Submit a business plan, ID and address proof and a caste certificate if applicable.
Step 5 - Bank appraises and sanctions loan: The bank appraises the project and sanctions a composite loan (term loan plus working capital).
Step 6 - Handholding / training if needed: If you are categorised as a trainee borrower, complete the handholding or training arranged before or after the loan.",
CEN017,Central,All India,National Manufacturing Mission (NMM),Scheme,FY2025-26,Support for solar/EV/wind/transmission manufacturing,DPIIT,dpiit.gov.in,"1) Visit the official source portal (dpiit.gov.in) or contact the nodal body (DPIIT) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'National Manufacturing Mission (NMM)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (dpiit.gov.in) or contact the nodal body (DPIIT). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'National Manufacturing Mission (NMM)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN018,Central,All India,Fund of Funds for Startups (New Corpus),Scheme,FY2025-26,"New Rs10,000 crore corpus via AIFs",Ministry of Finance,startupindia.gov.in,"1) Visit the official source portal (startupindia.gov.in) or contact the nodal body (Ministry of Finance) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Fund of Funds for Startups (New Corpus)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (startupindia.gov.in) or contact the nodal body (Ministry of Finance). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Fund of Funds for Startups (New Corpus)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",Startup-focused: usually needs DPIIT or state startup recognition instead of (or as well as) Udyam Registration.
CEN019,Central,All India,MSME Export Term Loan Scheme,Scheme,FY2025-26,Term loans up to Rs20 crore for MSME exporters,Ministry of Commerce,commerce.gov.in,1) Ensure Udyam + IEC (Import Export Code) registration 2) Approach designated bank/EXIM Bank branch handling this scheme 3) Submit export order/contract details and project report 4) Bank/financial institution appraises and sanctions term loan 5) Utilise funds per scheme guidelines for export capacity building.,Yes - scheme-specific official process,5,1) Ensure Udyam and IEC registration | 2) Approach the designated bank / EXIM Bank branch | 3) Submit export order details and project report | 4) Bank appraises and sanctions term loan | 5) Use funds as per guidelines,"Step 1 - Ensure Udyam and IEC registration: Make sure you hold both a Udyam registration and an Import Export Code (IEC) from DGFT.
Step 2 - Approach the designated bank / EXIM Bank branch: Approach the designated bank or the EXIM Bank branch that handles this scheme.
Step 3 - Submit export order details and project report: Submit your export order or contract details and a project report showing how the loan builds export capacity.
Step 4 - Bank appraises and sanctions term loan: The bank or institution appraises the proposal and sanctions a term loan.
Step 5 - Use funds as per guidelines: Use the funds only for export capacity building as the scheme guidelines specify, and keep records for audit.",
CEN020,Central,All India,Focus Product Scheme (Footwear/Leather),Scheme,FY2025-26,"22 lakh jobs, Rs4 lakh crore turnover target",Ministry of Commerce,commerce.gov.in,"1) Visit the official source portal (commerce.gov.in) or contact the nodal body (Ministry of Commerce) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Focus Product Scheme (Footwear/Leather)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (commerce.gov.in) or contact the nodal body (Ministry of Commerce). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Focus Product Scheme (Footwear/Leather)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN021,Central,All India,Scheme for Toy Sector,Scheme,FY2025-26,"Cluster development, global toy hub positioning",Ministry of Commerce/DPIIT,dpiit.gov.in,"1) Visit the official source portal (dpiit.gov.in) or contact the nodal body (Ministry of Commerce/DPIIT) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Scheme for Toy Sector' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (dpiit.gov.in) or contact the nodal body (Ministry of Commerce/DPIIT). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Scheme for Toy Sector' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN022,Central,All India,Revised MSME Classification Limits,Scheme,FY2025-26,"Investment limits up 2.5x, turnover limits up 2x",Ministry of MSME,msme.gov.in,"1) Visit the official source portal (msme.gov.in) or contact the nodal body (Ministry of MSME) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Revised MSME Classification Limits' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (msme.gov.in) or contact the nodal body (Ministry of MSME). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Revised MSME Classification Limits' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.","Looks like a policy change, bank-side model or institution rather than something you apply to; the generic steps may not apply. Check the source."
CEN023,Central,All India,"National Institute of Food Technology, Bihar",Scheme,FY2025-26,"Food industry R&D and skilling institute, Eastern India",Ministry of Food Processing,mofpi.gov.in,"1) Visit the official source portal (mofpi.gov.in) or contact the nodal body (Ministry of Food Processing) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'National Institute of Food Technology, Bihar' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (mofpi.gov.in) or contact the nodal body (Ministry of Food Processing). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'National Institute of Food Technology, Bihar' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.","Looks like a policy change, bank-side model or institution rather than something you apply to; the generic steps may not apply. Check the source."
CEN024,Central,All India,Cross-Border Factoring Scale-Up,Scheme,FY2025-26,Scale export factoring to ~3% of merchandise exports,Ministry of Commerce,commerce.gov.in,"1) Visit the official source portal (commerce.gov.in) or contact the nodal body (Ministry of Commerce) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Cross-Border Factoring Scale-Up' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (commerce.gov.in) or contact the nodal body (Ministry of Commerce). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Cross-Border Factoring Scale-Up' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
